artifact_id,cdli_comments,designation,artifact_type,period,provenience,written_in,archive,composite_no,seal_no,composites,seals,museum_no,accession_no,condition_description,artifact_preservation,period_comments,provenience_comments,artifact_type_comments,is_provenience_uncertain,is_period_uncertain,is_artifact_type_uncertain,is_school_text,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,artifact_comments,seal_information,collections,dates,alternative_years,genres,languages,materials,publications_key,publications_type,publications_exact_ref,publications_comment,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
11.0,,"CDLI Lexical 000002, ex. 017 & 000026, ex. 054",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002; Q000026,,VAT 17685,,,,,,,0.0,0.0,0.0,0.0,66.0,24.0,56.0,,,"W 11986,a","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375577,history,"pl. 4, W 11986,a",,DCCLT; ARMEP,P000011; P000011,Archaic Lu2 A (witness); Archaic Metal (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
12.0,,"CDLI Lexical 000002, ex. 136",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 17619,,,,,,,0.0,0.0,0.0,0.0,41.0,14.0,31.0,,,"W 11986,c","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375578,history,"pl. 19, W 11986,c",,DCCLT; ARMEP,P000012; P000012,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
13.0,,"CDLI Lexical Archaic Unidentified, ex. 004",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 17729,,,,,,,0.0,0.0,0.0,0.0,30.0,16.0,38.0,,,"W 11988,d","Pb XVII,1","+19.00 m, 7 m südwestlich vom Festpunkt 19.60",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375579,history,"pl. 85, W 11988,d",,DCCLT; ARMEP,P000013; P000013,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
14.0,,"ATU 3, pl. 036, W 12139",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16773,,,,,,,0.0,0.0,0.0,0.0,76.0,15.0,51.0,,,W 12139,"Oe XVI,4","+19.80 m, über der Tempelmauer von IVa, südwestlich vom Labyrinth",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,Englund1993;1428997;1454046;1458908,primary;history;history;history,"pl. 36, W 12139; p. 173 fig. 63; ;","76x51x15, Swine 1-58 mit Kolophon, Oe XVI,4, +19.80 m, über der Tempelmauer von IVa, südwestlich vom Labyrinth, veröffentlicht in: UVB 6, Tafel gedreht um die vertikale Achse.",DCCLT; ARMEP,P000014; P000014,Archaic Pigs (witness) Text category: 06.01; Text commentary: 01-58 KOL; Foreign ID: L$U A,0.0,0.0,,,0.0,0.0,0.0,0.0,,
15.0,,"CDLI Lexical 000023, ex. 091",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000023,,VAT 17858 + VAT 17886,,,,,,,0.0,0.0,0.0,0.0,101.0,30.0,99.0,,,"W 12256,i + W 12256,k + W 12256,l + W 12256,o","Oe XVI,5","1 m über der Hofmauerkante IVa, 50 cm davor",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1428998;1444283,history;history,"pl. 66, W 12256,i+;",,DCCLT; ARMEP,P000015; P000015,Archaic Vessels & Garments (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
19.0,,"CDLI Lexical 000002, ex. 038",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 17630,,,,,,,0.0,0.0,0.0,0.0,25.0,17.0,25.0,,,"W 13662,c1","Od/e XVI,5",+20.07 m,,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375580;1454047;1458909,history;history;history,"pl. 7, W 13662,c1",,DCCLT; ARMEP,P000019; P000019,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
20.0,,"CDLI Lexical Archaic Unidentified, ex. 005",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 17699,,,,,,,0.0,0.0,0.0,0.0,39.0,20.0,24.0,,,"W 13662,v1","Od/e XVI,5",+20.07 m,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375581,history,"pl. 85, W 13662,v1",,DCCLT; ARMEP,P000020; P000020,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
21.0,,"ATU 3, pl. 080, W 13948",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16972,,,,,,,0.0,0.0,0.0,0.0,42.0,20.0,43.0,,,W 13948,"Pc XVII,4","+ca.17.20 m, beim Fundort der Löwenjagdstele",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993,primary,"pl. 80, W 13948","42x43x20, Vocabulary 1, Pc XVII,4, +ca. 17.20 m, beim Fundort der Löwenjagdstele.",DCCLT; ARMEP,P000021; P000021,Archaic Vocabulary (witness) Text category: 15-01; Foreign ID: LVO 1,0.0,0.0,,,0.0,0.0,0.0,0.0,,
22.0,,"ATU 3, pl. 082, W 13982",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16741,,,,,,,0.0,0.0,0.0,0.0,45.0,21.0,52.0,,,W 13982,"Od XVI,5",dicht über den Lehmziegeln des Hofes von IVa,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,Nissen1991FrüheSchrift ; Englund1993ATU3; Englund1998OBO160/1; Woods2010writing,history; primary; history; history,"p. 148, no. 15.4; pl. 82, W 13982; p. 85 fig. 23; 042 & 075","; 45x52x21 - Practice 2 - Od XVI,5, dicht über den Lehmziegeln des Hofes von IVa.; (incorrectly as BM 128990); ",DCCLT; ARMEP,P000022; P000022,Archaic Practice (witness) Text category: 16-02; Foreign ID: LSL 2,0.0,0.0,,,0.0,0.0,0.0,0.0,,
23.0,,"ATU 3, pl. 080, W 14264",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16759,,,,,,,0.0,0.0,0.0,0.0,62.0,17.0,57.0,,,W 14264,"Pb XVII,3","+18.00 m, Schutt über Riemchen unter neubabylonischen Häusern",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993,primary,"pl. 80, W 14264","62x57x17, Vocabulary 2, Pb XVII,3, +18.00 m, Schutt über Riemchen unter neubabylonischen Häusern.",DCCLT; ARMEP,P000023; P000023,Archaic Vocabulary (witness) Text category: 15-02; Foreign ID: LVO 2,0.0,0.0,,,0.0,0.0,0.0,0.0,,
24.0,,"CDLI Lexical Archaic Unidentified, ex. 006",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 17588,,,,,,,0.0,0.0,0.0,0.0,33.0,16.0,28.0,,,"W 14335,c","Od XVI,5","ca 20.20 m, in Raum von III",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375582,history,"pl. 85, W 14335,c",,DCCLT; ARMEP,P000024; P000024,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
25.0,,"ATU 3, pl. 080, W 14337,a+",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16912,,,,,,,0.0,0.0,0.0,0.0,99.0,33.0,92.0,,,"W 14337,a + W 14337,b + W 14337,c + W 14337,d + W 14337,e","Od XVI,5","ca 20.20 m, in Raum von III",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Vocabularies,undetermined,clay,Englund1993;1375583,primary;history,"pl. 80, W 14337,a+;","99x92x33, Vocabulary 3, Fundstelle wie W 14335,c, veröffentlicht in: ATU 2, Taf. 49.",DCCLT; ARMEP,P000025; P000025,Archaic Vocabulary (witness) Text category: 15-03; Foreign ID: LVO 3,0.0,0.0,,,0.0,0.0,0.0,0.0,,
30.0,,"CDLI Lexical 000002, ex. 018",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VA — ?,,,,,,,0.0,0.0,0.0,0.0,47.0,0.0,32.0,,,W 14497,?,in plankonvexem Ziegel des Zingels südwestlich der Ziqqurat,,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375584,history,"pl. 4, W 14497",,DCCLT; ARMEP,P000030; P000030,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
31.0,,"CDLI Lexical 000002, ex. 078",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VA — ?,,,,,,,0.0,0.0,0.0,0.0,39.0,0.0,50.0,,,"W 14551,a + W 14551,b ?","Pb XVII,2","+19.50 m, im Füllschutt des Hauses aus Riemchen, cf.14568",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375585,history,"pl. 13, W 14551,a+",,DCCLT; ARMEP,P000031; P000031,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
33.0,,"CDLI Lexical 000002, ex. 151",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VA — ?,,,,,,,0.0,0.0,0.0,0.0,23.0,0.0,26.0,,,W 14638,"Od XVI,4/5",+20 m,,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375586,history,"pl. 21, W 14638",,DCCLT; ARMEP,P000033; P000033,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
34.0,,"CDLI Lexical Archaic Unidentified, ex. 007",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VA — ?,,,,,,,0.0,0.0,0.0,0.0,35.0,0.0,24.0,,,"W 14731,x","Od XVI,5","+20 m, unter den gebrannten Ziegeln des späten Baues der Schicht III",,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375587,history,"pl. 85, W 14731,x",,DCCLT; ARMEP,P000034; P000034,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
35.0,,"CDLI Lexical 000013, ex. 008",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000013,,VAT 16828,,,,,,,0.0,0.0,0.0,0.0,61.0,0.0,62.0,,,"W 14777,b","Oe XVI,3",+19.70 m,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375588,history,"pl. 32, W 14777,b",,DCCLT; ARMEP,P000035; P000035,Archaic Fish (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
36.0,,"CDLI Lexical 000028, ex. 01",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000028,,VAT 16945,,,,,,,0.0,0.0,0.0,0.0,64.0,33.0,54.0,,,W 15085,"Pa XVI,2","+19.20 m, 5 cm über Riemchenmauer der älteren Periode der III Schicht, vor Ziqqurat",,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375589,history,"pl. 75, W 15085,",,DCCLT; ARMEP,P000036; P000036,Archaic Grain (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
37.0,,"CDLI Lexical Archaic Unidentified, ex. 008",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 16902,,,,,,,0.0,0.0,0.0,0.0,46.0,18.0,28.0,,,"W 15772,l","Nb/c XVI,4",Seleukidenmauer Schnitt Westhälfte,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375590,history,"pl. 85, W 15772,l",,DCCLT; ARMEP,P000037; P000037,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
38.0,,"CDLI Lexical Archaic Unidentified, ex. 009",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,"IM 023436,14",,,,,,,0.0,0.0,0.0,0.0,33.0,16.0,22.0,,,"W 15773,c","Nb/c XVI,4",Seleukidenmauer Schnitt Westhälfte,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Lexical,undetermined,clay,1375591,history,"pl. 85, W 15773,c",,DCCLT; ARMEP,P000038; P000038,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
39.0,,"CDLI Lexical Archaic Unidentified, ex. 010",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,"IM 023436,04",,,,,,,0.0,0.0,0.0,0.0,42.0,21.0,43.0,,,"W 15773,q","Nb/c XVI,4",Seleukidenmauer Schnitt Westhälfte,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Lexical,undetermined,clay,1375592,history,"pl. 85, W 15773,q",,DCCLT; ARMEP,P000039; P000039,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
40.0,,"CDLI Lexical Archaic Unidentified, ex. 011",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,"IM 023436,06",,,,,,,0.0,0.0,0.0,0.0,30.0,28.0,37.0,,,"W 15773,t","Nb/c XVI,4",Seleukidenmauer Schnitt Westhälfte,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Lexical,undetermined,clay,1375593,history,"pl. 85, W 15773,t",,DCCLT; ARMEP,P000040; P000040,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
41.0,,"CDLI Lexical Archaic Unidentified, ex. 012",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,VAT 17662,,,,,,,0.0,0.0,0.0,0.0,29.0,18.0,37.0,,,"W 15774,q","Nb/c XVI,4",Seleukidenmauer Schnitt Westhälfte,,,,,"Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375594,history,"pl. 85, W 15774,q",,DCCLT; ARMEP,P000041; P000041,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
42.0,,"CDLI Lexical 000022, ex. 001",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000022,,VAT 17590,,,,,,,0.0,0.0,0.0,0.0,52.0,32.0,48.0,,,"W 15774,w","Nb/c XVI,4",Seleukidenmauer Schnitt Westhälfte,,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375595,history,"pl. 37, W 15774,w",,DCCLT; ARMEP,P000042; P000042,Archaic Wood (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
43.0,,"CDLI Lexical Archaic Unidentified, ex. 013",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,,,"IM 023438,5 + VAT 16976",,,,,,,0.0,0.0,0.0,0.0,95.0,21.0,53.0,,,"W 15775,f + W 15775,ae","Nb/c XVI,4",Seleukidenmauer Schnitt Westhälfte,,,,,"National Museum of Iraq, Baghdad, Iraq;Vorderasiatisches Museum, Berlin, Germany",,,Lexical,undetermined,clay,1375596,history,"pl. 85, W 15775,f+",,DCCLT; ARMEP,P000043; P000043,Archaic Unidentified (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
45.0,,"CDLI Lexical 000007, ex. 007",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000007,,"IM 023438,6",,,,,,,0.0,0.0,0.0,0.0,38.0,21.0,43.0,,,"W 15775,af","Nb/c XVI,4","Seleukidenmauer-Schnitt, Westhälfte",,,,,"National Museum of Iraq, Baghdad, Iraq",,,Lexical,undetermined,clay,1375597,history,"pl. 26, W 15775,af",,DCCLT; ARMEP,P000045; P000045,Archaic Officials (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
46.0,,"CDLI Lexical 000002, ex. 032",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,"IM 023439,07",,,,,,,0.0,0.0,0.0,0.0,25.0,16.0,25.0,,,"W 15825,a7","Oe XVII,1",aus dem obersten Mauerwerk der Schicht III,,,,,"National Museum of Iraq, Baghdad, Iraq",00.00.00.00,,Lexical,undetermined,clay,1375598,history,"pl. 6, W 15825,a7",,DCCLT; ARMEP,P000046; P000046,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
47.0,,"CDLI Lexical 000023, ex. 026",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000023,,"IM 023439,08",,,,,,,0.0,0.0,0.0,0.0,18.0,10.0,37.0,,,"W 15825,a8","Oe XVII,1",aus dem obersten Mauerwerk der Schicht III,,,,,"National Museum of Iraq, Baghdad, Iraq",00.00.00.00,,Lexical,undetermined,clay,1375599,history,"pl. 57, W 15825,a8",,DCCLT; ARMEP,P000047; P000047,Archaic Vessels and Garments (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
48.0,,"CDLI Lexical 000002, ex. 067",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,"IM 023440,06a ?",,,,,,,0.0,0.0,0.0,0.0,33.0,15.0,36.0,,,"W 15833,a07 + W 15833,08","Oe XVII,1","+20.80 m, aus dem obersten Mauerwerk der Schicht III",,,,,"National Museum of Iraq, Baghdad, Iraq",00.00.00.00,,Lexical,undetermined,clay,1375600,history,"pl. 12, W 15833,a7+",,DCCLT; ARMEP,P000048; P000048,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
50.0,,"CDLI Lexical 000007, ex. 011",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000007,,"IM 023441,1",,,,,,,0.0,0.0,0.0,0.0,47.0,21.0,50.0,,,"W 15863,d","Ob XVI,3/4",spätere IIIer Schichten über dem Tempel aus kleinen Riemchen,,,,,"National Museum of Iraq, Baghdad, Iraq",,,Lexical,undetermined,clay,1375601,history,"pl. 27, W 15863,d",,DCCLT; ARMEP,P000050; P000050,Archaic Officials (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
51.0,,"CDLI Lexical 000002, ex. 088",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,"IM 023446,01a ?",,,,,,,0.0,0.0,0.0,0.0,54.0,19.0,57.0,,,"W 15892,a + W 15892,b","Oe XVII,1",unter den neubabylonischen Häusern /IIIer Schicht/,,,,,"National Museum of Iraq, Baghdad, Iraq",00.00.00.00,,Lexical,undetermined,clay,1375602,history,"pl. 14, W 15892,a+",,DCCLT; ARMEP,P000051; P000051,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
53.0,,"CDLI Lexical 000023, ex. 010",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000023,,"IM 023446,02",,,,,,,0.0,0.0,0.0,0.0,29.0,14.0,24.0,,,"W 15892,c","Oe XVII,1",unter den neubabylonischen Häusern /IIIer Schicht/,,,,,"National Museum of Iraq, Baghdad, Iraq",00.00.00.00,,Lexical,undetermined,clay,1375603,history,"pl. 55, W 15892,c",,DCCLT; ARMEP,P000053; P000053,Archaic Vessels and Garments (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
54.0,,"CDLI Lexical 000002, ex. 068",tablet,Uruk III (ca. 3200-3000 BC),Uruk (mod. Warka),,,,,Q000002,,VAT 16757,,,,,,,0.0,0.0,0.0,0.0,79.0,24.0,48.0,,,"W 15895,a","Oe XVII,1",unter den neubabylonischen Häusern am Suchgraben,,,,,"Vorderasiatisches Museum, Berlin, Germany",00.00.00.00,,Lexical,undetermined,clay,1375604,history,"pl. 12, W 15895,a",,DCCLT; ARMEP,P000054; P000054,Archaic Lu2 A (witness) ,0.0,0.0,,,0.0,0.0,0.0,0.0,,
